location,displayName
"{'latitude': 25.912678000000003, 'longitude': -80.305874}","{'text': 'Crescent House Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8676495, 'longitude': -80.30962889999999}","{'text': 'Westland 49 Apartments', 'languageCode': 'en'}"
"{'latitude': 25.8929743, 'longitude': -80.30576620000001}","{'text': 'Rocky Creek Apartments LLC', 'languageCode': 'en'}"
"{'latitude': 25.929985, 'longitude': -80.31277999999999}","{'text': 'Fairway View', 'languageCode': 'en'}"
"{'latitude': 25.881915, 'longitude': -80.287613}","{'text': 'Las Brisas Gardens Apartments', 'languageCode': 'en'}"
"{'latitude': 25.920054999999998, 'longitude': -80.3045897}","{'text': 'St. Tropez Apartments', 'languageCode': 'en'}"
"{'latitude': 25.9017493, 'longitude': -80.3357808}","{'text': 'The Residences at Lakehouse', 'languageCode': 'en'}"
"{'latitude': 25.872324, 'longitude': -80.3341921}","{'text': 'Legacy at Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.8974777, 'longitude': -80.308114}","{'text': 'Apartment', 'languageCode': 'en'}"
"{'latitude': 25.89222, 'longitude': -80.289142}","{'text': 'Parc Vistas', 'languageCode': 'en'}"
"{'latitude': 25.929899, 'longitude': -80.3057777}","{'text': 'Lakeridge at the Moors', 'languageCode': 'en'}"
"{'latitude': 25.917495, 'longitude': -80.2854775}","{'text': 'Marbrisa Apartments', 'languageCode': 'en'}"
"{'latitude': 25.920054999999998, 'longitude': -80.3045897}","{'text': 'St. Tropez Apartments', 'languageCode': 'en'}"
"{'latitude': 25.930186199999998, 'longitude': -80.302159}","{'text': 'Latitudes at the Moors', 'languageCode': 'en'}"
"{'latitude': 25.929985, 'longitude': -80.31277999999999}","{'text': 'Fairway View', 'languageCode': 'en'}"
"{'latitude': 25.9125406, 'longitude': -80.3074185}","{'text': '6600 Main', 'languageCode': 'en'}"
"{'latitude': 25.915989399999997, 'longitude': -80.3107402}","{'text': 'Meadow Walk Apartments', 'languageCode': 'en'}"
"{'latitude': 25.936138099999997, 'longitude': -80.3088302}","{'text': 'Thymewood Apartments', 'languageCode': 'en'}"
"{'latitude': 25.9135061, 'longitude': -80.3132479}","{'text': 'Bull Run Apartments', 'languageCode': 'en'}"
"{'latitude': 25.931168, 'longitude': -80.31197999999999}","{'text': 'Royalton on the Green Apartments', 'languageCode': 'en'}"
"{'latitude': 25.9344821, 'longitude': -80.3130125}","{'text': 'Golfside Villas Apartments in Miami', 'languageCode': 'en'}"
"{'latitude': 25.9095187, 'longitude': -80.3100596}","{'text': 'New Barn Apartments', 'languageCode': 'en'}"
"{'latitude': 25.941755999999998, 'longitude': -80.2953209}","{'text': 'Siesta Pointe Apartments', 'languageCode': 'en'}"
"{'latitude': 25.912678000000003, 'longitude': -80.305874}","{'text': 'Crescent House Apartments', 'languageCode': 'en'}"
"{'latitude': 25.9158117, 'longitude': -80.3065451}","{'text': 'Courtyards at Miami Lakes', 'languageCode': 'en'}"
"{'latitude': 25.9175, 'longitude': -80.2894444}","{'text': 'Spring Lake Club Rental Apartments', 'languageCode': 'en'}"
"{'latitude': 25.9134179, 'longitude': -80.3132475}","{'text': 'Fountain House Apartments', 'languageCode': 'en'}"
"{'latitude': 25.941733499999998, 'longitude': -80.3001522}","{'text': 'Villa Esperanza', 'languageCode': 'en'}"
"{'latitude': 25.940576399999998, 'longitude': -80.27512159999999}","{'text': 'Garden Vista Apartments in Miami Gardens', 'languageCode': 'en'}"
"{'latitude': 25.946743899999998, 'longitude': -80.2949503}","{'text': 'Legacy Palm Gardens', 'languageCode': 'en'}"
"{'latitude': 25.733636999999998, 'longitude': -80.37516099999999}","{'text': 'Westwood Apartments', 'languageCode': 'en'}"
"{'latitude': 25.7503986, 'longitude': -80.3910903}","{'text': 'International Club Apartments', 'languageCode': 'en'}"
"{'latitude': 25.7561169, 'longitude': -80.365645}","{'text': 'Advenir at University Park', 'languageCode': 'en'}"
"{'latitude': 25.7329764, 'longitude': -80.36007939999999}","{'text': 'Spring Tree Apartments', 'languageCode': 'en'}"
